Distancias completas para consulta 4
rank,train_index,label,distance
1,897,8,5.85384321
2,3539,8,6.67641497
3,1954,8,7.14538240
4,1912,8,7.20071745
5,4228,8,7.31742430
6,2897,8,7.56581783
7,3765,8,7.59095287
8,98,8,7.83497810
9,119,8,7.95380354
10,4833,8,8.10230541
11,3437,8,8.14856625
12,1238,8,8.26614666
13,1541,8,8.28527737
14,199,0,8.29333878
15,4604,8,8.30494499
16,2504,8,8.30858898
17,277,8,8.38599014
18,3051,8,8.48102856
19,4346,8,8.57947826
20,4716,2,8.60211658
21,2551,8,8.61031342
22,2391,0,8.67681599
23,11,8,8.68619156
24,403,8,8.76165390
25,2617,8,8.76558399
26,2029,7,8.78060913
27,3593,5,8.81314754
28,3105,0,8.82520390
29,4163,8,8.88669395
30,4011,8,8.89202404
31,3065,2,8.89919758
32,1214,8,8.90907001
33,902,8,8.91890812
34,2994,0,8.94113922
35,3542,8,8.97926044
36,914,8,9.00574112
37,1363,8,9.02616024
38,3652,8,9.05322266
39,4139,8,9.08240414
40,3832,8,9.09918594
41,1351,8,9.12707424
42,1791,8,9.12727261
43,4692,0,9.12843704
44,2361,8,9.13387108
45,2266,8,9.14076519
46,4863,8,9.16402435
47,3332,8,9.17272282
48,295,8,9.17458820
49,2358,8,9.17518330
50,1669,8,9.20234966
51,2999,8,9.20261478
52,1505,8,9.22140789
53,3481,9,9.22628689
54,949,8,9.24093151
55,4729,0,9.26528168
56,1147,8,9.27011108
57,382,0,9.29103565
58,4740,8,9.29286098
59,952,8,9.29787159
60,3239,8,9.31476784
61,830,8,9.33510494
62,3287,8,9.34656143
63,3124,8,9.35013580
64,540,2,9.35676765
65,3228,0,9.35831833
66,151,8,9.36627674
67,2246,0,9.36694336
68,4808,8,9.38999176
69,1279,0,9.39940453
70,2570,8,9.40210915
71,3324,8,9.41166496
72,1796,0,9.42887020
73,1881,6,9.46091270
74,4727,8,9.46644306
75,1174,8,9.46712017
76,3486,3,9.47480583
77,2805,9,9.48627281
78,1477,8,9.48685837
79,2067,8,9.49081421
80,2905,9,9.49160385
81,982,8,9.52177906
82,4172,8,9.52608395
83,4487,8,9.53151035
84,3809,9,9.53363323
85,1845,8,9.55076885
86,1141,8,9.55899239
87,774,0,9.56030560
88,1255,0,9.56436443
89,2862,5,9.60294342
90,1883,9,9.62368679
91,2666,8,9.62732410
92,4376,8,9.63095188
93,352,1,9.67558002
94,4179,2,9.67737198
95,581,8,9.67848492
96,3319,8,9.68459606
97,1242,8,9.70949650
98,2558,8,9.71913242
99,1456,6,9.72043228
100,1021,8,9.75522327
101,3151,0,9.75535870
102,1400,0,9.75574780
103,4524,0,9.75840282
104,2335,8,9.77539444
105,2535,0,9.78200340
106,1149,8,9.78322220
107,4572,6,9.78366756
108,3783,8,9.80151939
109,3556,8,9.80788326
110,4496,8,9.81237316
111,3885,9,9.81600475
112,4913,8,9.83096886
113,1656,8,9.83252048
114,3066,8,9.83277035
115,4998,0,9.83305359
116,1716,8,9.83911610
117,4931,8,9.84591961
118,4698,8,9.84756660
119,2844,4,9.85549068
120,3343,9,9.86884594
121,4119,8,9.86932373
122,345,8,9.87197590
123,3327,8,9.87281132
124,2616,5,9.87457561
125,1281,8,9.88415337
126,1621,0,9.88554287
127,1768,8,9.90201187
128,3264,0,9.90686607
129,852,9,9.90793228
130,4464,8,9.91968441
131,2041,0,9.92211819
132,1280,9,9.92232513
133,4590,3,9.93270683
134,3258,2,9.93866158
135,1916,8,9.96110058
136,3776,7,9.96195698
137,3958,8,9.96374130
138,908,7,9.96477890
139,3010,5,9.97308540
140,2788,0,9.97337532
141,3007,8,9.97859001
142,3972,8,9.98464012
143,3465,2,9.98617744
144,1175,3,9.98822212
145,4996,8,9.99999809
146,764,9,10.00724030
147,459,8,10.00949574
148,39,0,10.01105022
149,2701,0,10.02088833
150,4212,8,10.02253532
151,4493,9,10.02414894
152,3903,8,10.02979374
153,3654,0,10.03371811
154,3829,0,10.03574276
155,4456,8,10.03856754
156,3325,8,10.04221249
157,2988,3,10.04528236
158,2512,8,10.05216980
159,4060,2,10.05789471
160,2968,9,10.06207848
161,2388,8,10.06257915
162,2816,2,10.07677364
163,3983,4,10.07687187
164,2344,4,10.08150101
165,225,0,10.08595085
166,4683,0,10.09117413
167,4134,8,10.09773064
168,4490,9,10.10063171
169,4950,8,10.10906982
170,4178,3,10.11067677
171,2796,9,10.11094093
172,2485,8,10.12057304
173,3077,9,10.12205887
174,2821,8,10.12653446
175,3502,9,10.12711239
176,2235,2,10.13265705
177,475,8,10.13400650
178,4965,8,10.13504314
179,2362,8,10.13893032
180,2555,7,10.14140987
181,2894,0,10.14593315
182,4798,8,10.15806675
183,754,3,10.16171360
184,4686,8,10.17032623
185,4984,8,10.17294407
186,3994,2,10.17524529
187,1396,8,10.17528439
188,1418,0,10.18027878
189,2561,3,10.18903732
190,2621,9,10.18914986
191,761,7,10.19126606
192,4650,8,10.19399834
193,4705,2,10.19447136
194,144,8,10.19830799
195,4053,8,10.21596432
196,3578,5,10.22871971
197,809,8,10.23932076
198,2841,4,10.23984337
199,3900,9,10.24110317
200,3376,8,10.24155807
201,3246,8,10.24179745
202,4706,5,10.24558353
203,1679,9,10.24751472
204,2431,3,10.24886036
205,1638,3,10.25215530
206,3017,7,10.25219154
207,1752,8,10.25784874
208,1735,8,10.25931931
209,1407,8,10.26356506
210,3856,5,10.26407242
211,4653,4,10.27255821
212,646,8,10.27550602
213,3944,0,10.27877140
214,2775,9,10.27896214
215,3446,9,10.27999687
216,4624,8,10.28365517
217,1703,2,10.28409958
218,1130,3,10.28580284
219,1239,9,10.29298878
220,3555,8,10.29492474
221,1996,8,10.29599667
222,3358,8,10.30046463
223,4438,9,10.30554485
224,1049,2,10.31058693
225,2668,3,10.31203461
226,4564,5,10.31931973
227,826,2,10.32120991
228,221,2,10.32652473
229,1465,2,10.32760906
230,3878,9,10.33114052
231,1553,0,10.33293724
232,4278,2,10.33309460
233,1964,3,10.33483696
234,671,2,10.33490276
235,1096,8,10.33767319
236,2396,0,10.34846401
237,380,0,10.35003471
238,2075,8,10.35231781
239,4244,8,10.35562611
240,2583,8,10.35566425
241,1859,3,10.36771393
242,3929,8,10.36959648
243,1809,0,10.37086868
244,2200,5,10.37399292
245,2856,8,10.37605190
246,4991,3,10.38009453
247,2085,8,10.38146782
248,2836,6,10.38149643
249,1257,8,10.38312721
250,4573,8,10.38613987
251,4494,0,10.39538956
252,3048,6,10.39682674
253,4766,9,10.39743042
254,1325,0,10.39922428
255,692,0,10.39981937
256,920,2,10.40173149
257,2382,8,10.40507221
258,4024,8,10.40616894
259,31,9,10.40700626
260,2015,5,10.41080952
261,1643,8,10.41466904
262,2487,8,10.41585064
263,2718,8,10.41633224
264,4076,8,10.41646671
265,719,9,10.41919422
266,1792,9,10.42008972
267,4349,8,10.42178917
268,910,0,10.42761612
269,4401,8,10.42849827
270,1729,8,10.42939377
271,1092,9,10.43241692
272,239,6,10.43280220
273,4962,0,10.43667030
274,4844,8,10.43789005
275,3792,8,10.44102764
276,4411,0,10.44196224
277,3307,6,10.44407368
278,2023,1,10.44802189
279,1172,8,10.44915676
280,4760,0,10.44923115
281,3507,0,10.45023346
282,4912,0,10.45186615
283,3643,0,10.45269966
284,3120,0,10.45499516
285,3265,8,10.46295261
286,2013,5,10.46907997
287,2606,8,10.47065639
288,738,9,10.47124767
289,3492,8,10.47301388
290,1380,7,10.47305775
291,4309,8,10.47327423
292,2159,3,10.47356319
293,3974,8,10.47625446
294,1884,9,10.47724438
295,4390,1,10.48100090
296,2363,5,10.48114109
297,2285,3,10.48266697
298,1858,2,10.48665237
299,2628,8,10.48689651
300,1144,8,10.48758221
301,3103,4,10.49796486
302,3061,1,10.49818039
303,4145,8,10.49887276
304,3375,0,10.50131607
305,4621,7,10.50816059
306,2176,8,10.50836945
307,3025,3,10.50843525
308,2327,3,10.50948715
309,4891,0,10.51368618
310,4545,6,10.51424885
311,3821,6,10.51615810
312,722,8,10.51663017
313,3123,0,10.51817131
314,1228,9,10.52765465
315,2972,7,10.52776146
316,3338,8,10.52798939
317,1514,0,10.53244877
318,3755,7,10.53290749
319,4394,9,10.53602028
320,4830,8,10.53782654
321,1083,8,10.54549122
322,3532,4,10.55035686
323,628,8,10.55188370
324,3094,8,10.55301476
325,576,2,10.55331039
326,4018,3,10.55440998
327,4127,9,10.55528545
328,3060,2,10.55684662
329,3867,0,10.56062984
330,324,8,10.56098843
331,4428,8,10.56702900
332,1062,0,10.56923008
333,2061,8,10.57020950
334,2215,4,10.57220745
335,2299,0,10.57489395
336,960,9,10.57728291
337,648,3,10.57732773
338,17,2,10.57892418
339,888,9,10.58196449
340,3301,6,10.58344173
341,1305,0,10.58523655
342,373,0,10.58586025
343,1882,2,10.58853722
344,233,8,10.58957958
345,2786,8,10.59192467
346,172,4,10.59237289
347,3989,0,10.59590626
348,2319,0,10.59752655
349,1887,3,10.59867096
350,303,0,10.59973717
351,480,8,10.60833645
352,356,8,10.61222744
353,3788,7,10.61259747
354,923,4,10.61432266
355,323,9,10.61643982
356,9,4,10.61738968
357,994,0,10.61875820
358,2422,7,10.62179089
359,2753,9,10.62248898
360,2465,8,10.62417126
361,729,8,10.62715054
362,2130,4,10.63435268
363,3193,4,10.63634872
364,4140,0,10.63847351
365,4933,8,10.63945198
366,2971,0,10.64306927
367,2326,8,10.64791775
368,4873,8,10.64808750
369,4334,5,10.64865303
370,1463,0,10.65345764
371,2293,9,10.65404129
372,3875,6,10.65847969
373,4696,9,10.65942383
374,1194,0,10.66095734
375,2819,8,10.66319656
376,4779,4,10.66372395
377,1319,2,10.66398621
378,3428,9,10.66464138
379,2977,3,10.66530609
380,1216,8,10.66550255
381,2451,7,10.66572475
382,4724,7,10.66701794
383,1188,8,10.67358589
384,439,9,10.67475319
385,4155,0,10.67696667
386,4316,5,10.67733860
387,877,9,10.67844486
388,1094,9,10.68132687
389,4073,3,10.68190861
390,4183,0,10.68609810
391,4081,1,10.68820190
392,1939,8,10.68941116
393,2661,9,10.69004536
394,4610,8,10.69258118
395,1524,8,10.69359016
396,2655,9,10.69506550
397,2010,5,10.70102692
398,1046,0,10.70186806
399,4616,5,10.70385838
400,3813,2,10.70416927
401,4690,4,10.70906544
402,1013,2,10.71056461
403,4431,8,10.71079540
404,2707,7,10.71548653
405,2569,3,10.71629810
406,3699,3,10.71761227
407,1497,1,10.71982861
408,3406,9,10.72432709
409,1324,2,10.72506905
410,4182,8,10.72842216
411,2729,3,10.72956562
412,1839,4,10.72971535
413,4225,8,10.72979450
414,1719,9,10.73198605
415,4632,5,10.73311901
416,1259,9,10.73342896
417,1344,8,10.73394680
418,2228,2,10.73527813
419,4133,7,10.73601437
420,274,8,10.73932934
421,4201,9,10.74324703
422,1253,8,10.74326992
423,890,0,10.74348354
424,3991,9,10.74373913
425,96,3,10.74463940
426,4548,1,10.74713898
427,2675,8,10.74750900
428,4583,9,10.74800491
429,2822,8,10.74862385
430,3751,6,10.74886322
431,2918,3,10.75178719
432,2158,9,10.75245571
433,656,7,10.75305843
434,1164,2,10.75506020
435,3777,8,10.75726414
436,3237,7,10.75974178
437,1168,6,10.76157475
438,3987,6,10.76263809
439,4421,0,10.77010345
440,1966,6,10.77331257
441,2102,0,10.77576256
442,3231,0,10.77648354
443,3937,0,10.77843475
444,929,4,10.78364754
445,3189,2,10.78664303
446,2175,8,10.78669834
447,4982,9,10.78817368
448,898,9,10.78924561
449,4320,4,10.78962994
450,545,6,10.79069233
451,1872,5,10.79104042
452,3931,3,10.79390526
453,542,8,10.79420471
454,132,5,10.79466820
455,3705,8,10.79793835
456,230,8,10.79893303
457,12,8,10.80619144
458,4098,5,10.80688000
459,1206,8,10.81705666
460,4252,8,10.81765842
461,4208,2,10.81859112
462,3248,4,10.81865597
463,574,1,10.82161045
464,2051,9,10.82206154
465,4881,9,10.82251549
466,310,5,10.82359982
467,4405,8,10.82841778
468,147,8,10.83553600
469,2404,0,10.83881474
470,4052,6,10.84109116
471,3463,9,10.84144306
472,1528,4,10.84376717
473,4882,6,10.84481907
474,1287,2,10.84769917
475,3069,4,10.85166550
476,60,1,10.85465527
477,2035,0,10.85736752
478,3070,3,10.85860252
479,1873,8,10.85922718
480,1630,0,10.86002064
481,1301,7,10.86018181
482,3595,8,10.86300755
483,1607,9,10.86356640
484,4009,9,10.86478996
485,3152,8,10.86546230
486,3055,0,10.86664677
487,2216,8,10.86789036
488,4126,6,10.86879349
489,564,0,10.86881447
490,2476,8,10.87069702
491,464,8,10.87433434
492,1051,0,10.87594032
493,1509,3,10.87787151
494,3326,8,10.87862015
495,269,0,10.88253880
496,1000,8,10.88265133
497,4968,4,10.88323879
498,4812,6,10.88408375
499,2711,4,10.88411427
500,435,5,10.88448429
501,1820,4,10.88571548
502,3079,8,10.88675404
503,2008,2,10.88810825
504,1772,9,10.88879967
505,441,8,10.89046383
506,1569,2,10.89067650
507,29,4,10.89079952
508,2717,9,10.89335155
509,4505,5,10.89365101
510,3611,5,10.89411163
511,2432,6,10.89585781
512,688,7,10.89721680
513,1535,8,10.89930630
514,208,2,10.90092754
515,2122,0,10.90132523
516,494,2,10.90515709
517,778,3,10.90985298
518,549,8,10.91098118
519,4899,5,10.91753483
520,422,2,10.91814518
521,1847,0,10.91848278
522,2715,0,10.92315388
523,2003,6,10.92437267
524,569,0,10.93073940
525,4074,7,10.93216515
526,2366,8,10.93310070
527,4045,9,10.93380833
528,2923,2,10.93395233
529,3859,7,10.93505764
530,1629,5,10.93693638
531,3841,4,10.93806458
532,3789,0,10.94037151
533,2471,0,10.94060135
534,1186,6,10.94147587
535,100,5,10.94241524
536,2239,3,10.94271374
537,3694,0,10.94307613
538,607,9,10.94472885
539,4550,3,10.94526386
540,110,7,10.94587326
541,4886,4,10.94617271
542,402,1,10.94669437
543,3665,8,10.94785500
544,3479,8,10.94881916
545,4498,8,10.95229053
546,1696,9,10.95404148
547,3474,8,10.95512390
548,3111,0,10.95759296
549,3971,0,10.95845318
550,20,7,10.95854950
551,1039,8,10.96141529
552,302,5,10.96351147
553,4187,0,10.96355915
554,1778,2,10.96423244
555,4911,3,10.96572399
556,1711,3,10.96631145
557,4194,4,10.96718407
558,4699,2,10.96829891
559,870,3,10.97017670
560,937,3,10.97052193
561,1071,9,10.97130585
562,4639,4,10.97288513
563,3606,0,10.97422028
564,2646,1,10.97434807
565,1080,8,10.97703838
566,3352,2,10.97759819
567,4213,3,10.97920704
568,1577,8,10.98399639
569,2915,5,10.98535061
